,City,Colors Reported,Shape Reported,State,Time
10005,Prescott,,FORMATION,AZ,1997-03-13 20:15:00
10006,Prescott,YELLOW,FORMATION,AZ,1997-03-13 20:15:00
10007,Scottsdale,,TRIANGLE,AZ,1997-03-13 20:15:00
10008,Northwest Tempe,RED,FORMATION,AZ,1997-03-13 20:20:00
10009,Phoenix,,,AZ,1997-03-13 20:20:00
10010,Phoenix,,TRIANGLE,AZ,1997-03-13 20:20:00
10011,Buckeye,,SPHERE,AZ,1997-03-13 20:25:00
10012,Glendale,,,AZ,1997-03-13 20:25:00
10013,Cass City,,TRIANGLE,MI,1997-03-13 20:30:00
10014,Chandler,,,AZ,1997-03-13 20:30:00
10015,Chandler,,TRIANGLE,AZ,1997-03-13 20:30:00
10016,Chino Valley,,FORMATION,AZ,1997-03-13 20:30:00
10017,Gila Bend,,CHEVRON,AZ,1997-03-13 20:30:00
10018,Goodyear,,,AZ,1997-03-13 20:30:00
10019,Mt. Springs,,OTHER,TX,1997-03-13 20:30:00
10020,Phoenix,,,AZ,1997-03-13 20:30:00
10021,Phoenix,,CHEVRON,AZ,1997-03-13 20:30:00
10022,Phoenix,ORANGE,FORMATION,AZ,1997-03-13 20:30:00
10023,Phoenix,,TRIANGLE,AZ,1997-03-13 20:30:00
10024,Phoenix,,TRIANGLE,AZ,1997-03-13 20:30:00
10025,Tempe,,FORMATION,AZ,1997-03-13 20:30:00
10026,Tempe,,LIGHT,AZ,1997-03-13 20:30:00
10027,Libby,,LIGHT,MT,1997-03-13 20:35:00
10028,Mesa,,TRIANGLE,AZ,1997-03-13 20:40:00
10029,Phoenix,,FORMATION,AZ,1997-03-13 20:40:00
10030,Phoenix,,TRIANGLE,AZ,1997-03-13 20:45:00
10031,Henderson,,FORMATION,NV,1997-03-13 21:00:00
10032,Phoenix,,,AZ,1997-03-13 21:00:00
10033,Phoenix,,CHEVRON,AZ,1997-03-13 21:00:00
10034,Phoenix,,DIAMOND,AZ,1997-03-13 21:00:00
10035,Phoenix,,OTHER,AZ,1997-03-13 21:00:00
10036,Phoenix,,TRIANGLE,AZ,1997-03-13 21:00:00
10037,Prescott,,FORMATION,AZ,1997-03-13 21:00:00
10038,Phoenix,,RECTANGLE,AZ,1997-03-13 21:15:00
10039,Monterey,,SPHERE,CA,1997-03-13 21:30:00
10040,Sciotoville,,FORMATION,OH,1997-03-13 21:30:00
10041,Casa Grande,,FORMATION,AZ,1997-03-13 22:00:00
10042,Dateland,,CIRCLE,AZ,1997-03-13 22:00:00
10043,Glendale,,FIREBALL,AZ,1997-03-13 22:00:00
10044,Phoenix,,OTHER,AZ,1997-03-13 22:00:00
10045,Tucson,,LIGHT,AZ,1997-03-13 22:00:00
10046,Phoenix,,,AZ,1997-03-13 22:05:00
10047,Fresno,,FORMATION,CA,1997-03-13 23:00:00
10048,Dunnellon,,LIGHT,FL,1997-03-14 01:35:00
10049,Sahuarita,,TRIANGLE,AZ,1997-03-14 19:00:00
10050,Tonopah,,SPHERE,AZ,1997-03-14 20:00:00
10051,Los Angeles,,TRIANGLE,CA,1997-03-14 21:00:00
10052,Colorado Springs,,TRIANGLE,CO,1997-03-14 22:30:00
10053,New York City,,OVAL,NY,1997-03-14 23:59:00
10054,Kalamazoo,RED,FLASH,MI,1997-03-15 01:00:00
10055,San Tan Valley,,LIGHT,AZ,1997-03-15 01:00:00
10056,Woodinville,RED,TRIANGLE,WA,1997-03-15 02:00:00
10057,Buena Vista,,OVAL,CO,1997-03-15 10:30:00
10058,Miami,,LIGHT,FL,1997-03-15 18:00:00
10059,Bossier Parish,,RECTANGLE,LA,1997-03-15 19:00:00
10060,Fort Hood,,SPHERE,TX,1997-03-15 21:00:00
10061,San Diego,,DISK,CA,1997-03-15 21:00:00
10062,Iron River,,LIGHT,MI,1997-03-15 21:30:00
10063,Oakton,,DELTA,VA,1997-03-15 23:55:00
10064,Yuma,,TRIANGLE,AZ,1997-03-16 11:30:00
10065,Osterville,,SPHERE,MA,1997-03-16 17:39:00
10066,Mountain View,,SPHERE,CA,1997-03-16 18:48:00
10067,Salton Sea,RED,OTHER,CA,1997-03-16 20:30:00
10068,Maricopa,ORANGE,LIGHT,AZ,1997-03-16 21:00:00
10069,Lincoln City,,TRIANGLE,OR,1997-03-17 09:00:00
10070,Aquaduct,,TRIANGLE,CA,1997-03-17 10:00:00
10071,Wickenburg,,LIGHT,AZ,1997-03-17 20:00:00
10072,Mesa,,CHEVRON,AZ,1997-03-17 20:35:00
10073,San Diego,,CIRCLE,CA,1997-03-17 21:00:00
10074,Tucson,ORANGE,TRIANGLE,AZ,1997-03-17 21:00:00
10075,Cleveland,ORANGE,CIGAR,TX,1997-03-19 20:45:00
10076,Phoenix,,OTHER,AZ,1997-03-20 00:00:00
10077,Santa Fe,,TRIANGLE,NM,1997-03-20 13:00:00
10078,Whitefish,,LIGHT,MT,1997-03-20 20:25:00
10079,Yucaipa,ORANGE,FIREBALL,CA,1997-03-21 21:00:00
10080,Scottsdale,,CIRCLE,AZ,1997-03-22 16:00:00
10081,McDonough,,LIGHT,GA,1997-03-22 20:00:00
10082,Bakersfield,YELLOW,LIGHT,CA,1997-03-22 20:32:00
10083,Lake Geneva,,LIGHT,WI,1997-03-22 21:00:00
10084,Unadilla,,LIGHT,NY,1997-03-22 21:30:00
10085,Stevens Point,ORANGE,CRESCENT,WI,1997-03-22 22:30:00
10086,Albuquerque,,OTHER,NM,1997-03-23 16:30:00
10087,Tigard,,DIAMOND,OR,1997-03-23 19:37:00
10088,Nederland,,OTHER,CO,1997-03-23 20:30:00
10089,Nederland,,OTHER,CO,1997-03-23 21:45:00
10090,Manassas,,FORMATION,VA,1997-03-24 23:40:00
10091,Stockton,RED,DIAMOND,CA,1997-03-25 20:32:00
10092,Owings Mills,,LIGHT,MD,1997-03-26 22:10:00
10093,Huron,,CIRCLE,OH,1997-03-26 22:30:00
10094,Winslow,,TRIANGLE,AZ,1997-03-26 22:30:00
10095,Ann Arbor,RED,LIGHT,MI,1997-03-27 01:00:00
10096,Williston,,SPHERE,FL,1997-03-27 01:03:00
10097,Sun Prairie,BLUE,,WI,1997-03-27 16:00:00
10098,Carlisle,,FORMATION,PA,1997-03-27 20:10:00
10099,Carlisle,,FORMATION,PA,1997-03-27 20:10:00
10100,Springfield,,DISK,MO,1997-03-27 20:40:00
10101,Palm Springs,,LIGHT,CA,1997-03-27 21:00:00
10102,Yuma,,SPHERE,AZ,1997-03-27 22:00:00
10103,Toledo,RED GREEN,CIRCLE,OH,1997-03-27 22:30:00
10104,Carmichaels,,DISK,PA,1997-03-28 16:00:00
10105,Houston,,SPHERE,TX,1997-03-28 22:00:00
10106,Phoenix City,,,AL,1997-03-29 20:00:00
10107,Cobleskill,ORANGE,LIGHT,NY,1997-03-30 00:45:00
10108,Shallotte,ORANGE,FORMATION,NC,1997-03-30 20:30:00
10109,Juneau,ORANGE GREEN,LIGHT,AK,1997-03-31 21:00:00
10110,Gardena,,OTHER,CA,1997-04-01 00:00:00
10111,Foster,,CIGAR,VA,1997-04-01 01:00:00
10112,Houston,ORANGE,OTHER,TX,1997-04-01 04:00:00
10113,Round Rock,,TRIANGLE,TX,1997-04-01 10:00:00
10114,Monument Valley,,LIGHT,UT,1997-04-01 18:30:00
10115,Homestead,,,FL,1997-04-01 21:00:00
10116,Santa Fe,,,NM,1997-04-01 22:00:00
10117,Sedona,RED,SPHERE,AZ,1997-04-01 22:00:00
10118,Brush Creek,,,TN,1997-04-01 23:05:00
10119,Lebanon,RED,SPHERE,MO,1997-04-02 20:15:00
10120,Port Wentworth,,OTHER,GA,1997-04-03 01:35:00
10121,Seattle,,OTHER,WA,1997-04-03 17:30:00
10122,Gaston,YELLOW GREEN,,OR,1997-04-03 19:50:00
10123,Kosciusko,,LIGHT,MS,1997-04-03 21:00:00
10124,Phoenix,,OVAL,AZ,1997-04-03 21:00:00
10125,Atlanta,,SPHERE,GA,1997-04-04 02:15:00
10126,Winsted,,,CT,1997-04-04 20:30:00
10127,Palm Springs,,OVAL,CA,1997-04-05 01:00:00
10128,Fairhope,,CIRCLE,AL,1997-04-05 14:00:00
10129,Fairhope,,OTHER,AL,1997-04-05 14:00:00
10130,Randle,,LIGHT,WA,1997-04-05 19:50:00
10131,Colorado Springs,,CYLINDER,CO,1997-04-07 05:30:00
10132,Milwaukee,,OTHER,WI,1997-04-07 14:00:00
10133,Austin,,TRIANGLE,TX,1997-04-07 17:00:00
10134,Hastings On Hudson,,TRIANGLE,NY,1997-04-07 21:07:00
10135,Sonoma,,CHEVRON,CA,1997-04-08 19:45:00
10136,Las Vegas,,RECTANGLE,NV,1997-04-08 20:00:00
10137,Little Rock,,DISK,AR,1997-04-10 00:30:00
10138,Tompson,,LIGHT,GA,1997-04-10 01:30:00
10139,Houma,,CIRCLE,LA,1997-04-11 21:15:00
10140,Monrovia,,FORMATION,CA,1997-04-12 23:15:00
10141,San Diego,,LIGHT,CA,1997-04-13 19:07:00
10142,Edison,,TRIANGLE,NJ,1997-04-14 02:15:00
10143,Big Bear City,,OVAL,CA,1997-04-14 18:00:00
10144,Howard,,,SD,1997-04-15 00:00:00
10145,White Mountains,,OTHER,AZ,1997-04-15 01:00:00
10146,Fullerton,,VARIOUS,CA,1997-04-15 01:30:00
10147,Fort Pierce,,FIREBALL,FL,1997-04-15 02:30:00
10148,Plainwell,,DIAMOND,MI,1997-04-15 02:30:00
10149,Atwater,,,CA,1997-04-15 05:40:00
10150,Hawthorne,,LIGHT,CA,1997-04-15 10:00:00
10151,South Point,,EGG,OH,1997-04-15 13:00:00
10152,Charlotte,,,NC,1997-04-15 22:00:00
10153,Lincoln,,SPHERE,NE,1997-04-15 22:00:00
10154,Bakersfield,YELLOW,LIGHT,CA,1997-04-15 22:30:00
10155,Harrisburg,,FORMATION,PA,1997-04-15 22:30:00
10156,Coolidge,,LIGHT,AZ,1997-04-15 22:45:00
10157,Aurora,,CIGAR,TX,1997-04-17 06:00:00
10158,Okanogan,,,WA,1997-04-17 17:30:00
10159,West Memphis,,LIGHT,AR,1997-04-17 20:23:00
10160,Bismarck,,LIGHT,AR,1997-04-17 22:45:00
10161,Lake DeGray,ORANGE,FIREBALL,AR,1997-04-17 22:45:00
10162,Hartford,ORANGE,,SD,1997-04-18 04:20:00
10163,Dallas,,DIAMOND,TX,1997-04-18 07:05:00
10164,Cleveland,,TRIANGLE,OH,1997-04-18 20:40:00
10165,Tampa,,TRIANGLE,FL,1997-04-18 23:59:00
10166,Reno,,OTHER,NV,1997-04-19 01:30:00
10167,Suisun,,CIRCLE,CA,1997-04-19 22:00:00
10168,Carlinville,,OTHER,IL,1997-04-20 02:00:00
10169,Reno,,,NV,1997-04-20 04:00:00
10170,Greentown,,FORMATION,IN,1997-04-20 04:28:00
10171,Billings,,LIGHT,MT,1997-04-20 19:00:00
10172,Lakewood,,,WA,1997-04-20 20:05:00
10173,Las Vegas,,LIGHT,NV,1997-04-20 23:00:00
10174,La Conner,,,WA,1997-04-21 20:40:00
10175,Stanwood,,,WA,1997-04-21 20:40:00
10176,Los Angeles,,,CA,1997-04-21 21:20:00
10177,Worcester,,EGG,MA,1997-04-22 00:34:00
10178,Spokane,RED,LIGHT,WA,1997-04-22 01:00:00
10179,Seattle,,,WA,1997-04-23 00:05:00
10180,Guntersville,,OVAL,AL,1997-04-23 18:00:00
10181,Houston,RED,TRIANGLE,TX,1997-04-23 19:30:00
10182,Orlando,,LIGHT,FL,1997-04-23 21:00:00
10183,Clarion,,LIGHT,PA,1997-04-24 01:00:00
10184,Coos Bay,,SPHERE,OR,1997-04-24 21:30:00
10185,New Brighton,,TRIANGLE,MN,1997-04-24 21:45:00
10186,Depoe Bay,,,OR,1997-04-24 23:00:00
10187,New York City,,OTHER,NY,1997-04-25 00:00:00
10188,Delray Beach,RED,LIGHT,FL,1997-04-25 01:45:00
10189,San-Carlos mountains,,LIGHT,AZ,1997-04-27 01:00:00
10190,Williamston,,TRIANGLE,SC,1997-04-28 00:25:00
10191,Houston,,LIGHT,TX,1997-04-28 22:00:00
10192,Fresh Pond,GREEN,FORMATION,CA,1997-04-29 17:00:00
10193,Twelve Mile,,DISK,IN,1997-04-30 21:00:00
10194,Columbia,,LIGHT,MO,1997-04-30 23:00:00
10195,Westboro,,OTHER,MA,1997-04-30 23:30:00
10196,Maysville,,DISK,KY,1997-05-01 14:00:00
10197,Cedar Rapids,BLUE,TRIANGLE,IA,1997-05-01 22:00:00
10198,St. Petersburg,,TRIANGLE,FL,1997-05-01 22:00:00
10199,State College,,FLASH,PA,1997-05-01 22:00:00
10200,Syracuse,,,NY,1997-05-01 23:00:00
10201,Oceanside,ORANGE,OTHER,CA,1997-05-02 22:00:00
10202,Oceanside,ORANGE,OTHER,CA,1997-05-02 22:05:00
10203,Lincoln City,YELLOW,LIGHT,OR,1997-05-02 22:45:00
10204,Freeport,,TRIANGLE,IL,1997-05-03 21:00:00
10205,Stafford,,OTHER,TX,1997-05-03 21:03:00
10206,Freeport,,TRIANGLE,IL,1997-05-03 23:30:00
10207,Newport Beach,,TRIANGLE,CA,1997-05-04 22:20:00
10208,Norton,,TRIANGLE,KS,1997-05-05 01:00:00
10209,West Chester,,EGG,PA,1997-05-05 12:15:00
10210,Austin,,LIGHT,TX,1997-05-05 19:00:00
10211,Bee Caves,RED BLUE,OTHER,TX,1997-05-05 19:00:00
10212,Turlock,,LIGHT,CA,1997-05-05 19:45:00
10213,Round Rock,,RECTANGLE,TX,1997-05-05 20:30:00
10214,Seattle,,DISK,WA,1997-05-06 17:25:00
10215,Santa Monica,,DISK,CA,1997-05-07 01:00:00
10216,Corapeake,,FLASH,NC,1997-05-07 20:00:00
10217,Sylmar,,OTHER,CA,1997-05-08 01:30:00
10218,Citrus Heights,,OTHER,CA,1997-05-08 05:15:00
10219,Auburn,,TRIANGLE,WA,1997-05-08 22:00:00
10220,Las Vegas,ORANGE,LIGHT,NV,1997-05-09 21:00:00
10221,Phoenix,,LIGHT,AZ,1997-05-09 21:50:00
10222,Austin,,FLASH,TX,1997-05-10 00:00:00
10223,Provo,YELLOW,LIGHT,UT,1997-05-10 00:25:00
10224,Neoga,RED,TRIANGLE,IL,1997-05-10 04:10:00
10225,Lawton,,,MI,1997-05-10 05:30:00
10226,Southside,,OTHER,AL,1997-05-10 21:00:00
10227,Sedona,,LIGHT,AZ,1997-05-10 21:50:00
10228,Los Padres National Forest,,OTHER,CA,1997-05-10 22:45:00
10229,Azle,BLUE,CIRCLE,TX,1997-05-10 23:00:00
10230,Winthrop,,OTHER,WA,1997-05-10 23:59:00
10231,Porter,RED,OTHER,TX,1997-05-11 12:00:00
10232,College,,CIGAR,UT,1997-05-11 13:56:00
10233,Greenwich,,TRIANGLE,CT,1997-05-11 23:00:00
10234,Wright City,,FIREBALL,MO,1997-05-11 23:43:00
10235,Death Valley Gas Station,,OVAL,CA,1997-05-12 23:30:00
10236,Edinboro,,OVAL,PA,1997-05-13 03:00:00
10237,Valley Springs,,TEARDROP,CA,1997-05-13 19:30:00
10238,Petaluma,,TRIANGLE,CA,1997-05-13 21:00:00
10239,Cottonwood,,LIGHT,AZ,1997-05-13 22:30:00
10240,San Jose,,CIRCLE,CA,1997-05-14 11:40:00
10241,San Diego,,DISK,CA,1997-05-15 00:00:00
10242,Londonderry,,LIGHT,NH,1997-05-15 02:00:00
10243,Mesquite,,TEARDROP,TX,1997-05-15 08:30:00
10244,College Station,,LIGHT,TX,1997-05-15 10:00:00
10245,Mesquite,,CIRCLE,TX,1997-05-15 10:00:00
10246,Palm Beach Gardens,,FORMATION,FL,1997-05-15 16:53:00
10247,Sorrento,,CIGAR,FL,1997-05-15 18:30:00
10248,Waco,,LIGHT,TX,1997-05-15 20:00:00
10249,Asheville,,OTHER,NC,1997-05-15 21:00:00
10250,Great River,,OVAL,NY,1997-05-15 21:00:00
10251,South Bend,,TRIANGLE,IN,1997-05-15 22:30:00
10252,Bouse,,TRIANGLE,AZ,1997-05-15 22:45:00
10253,Oklahoma City,,TRIANGLE,OK,1997-05-16 23:00:00
10254,Las Vegas,,TRIANGLE,NV,1997-05-17 03:30:00
10255,Portland,,OVAL,OR,1997-05-17 14:00:00
10256,Grantville,,TRIANGLE,PA,1997-05-18 19:00:00
10257,Jackson,,LIGHT,MI,1997-05-18 21:00:00
10258,Kalamazoo,,VARIOUS,MI,1997-05-19 00:20:00
10259,Los Angeles,,OVAL,CA,1997-05-20 00:00:00
10260,Louisville,,CIRCLE,KY,1997-05-20 01:00:00
10261,Jupiter,,OTHER,FL,1997-05-20 04:01:00
10262,North Pole,,,AK,1997-05-20 15:00:00
10263,Caldwell,,OTHER,ID,1997-05-20 21:15:00
10264,Wolf Point,,FIREBALL,MT,1997-05-21 04:00:00
10265,Phoenix,,OTHER,AZ,1997-05-21 06:00:00
10266,Simi Valley,,FORMATION,CA,1997-05-22 21:25:00
10267,Chatham,,DISK,NJ,1997-05-22 22:21:00
10268,Arcadia,,LIGHT,FL,1997-05-23 04:00:00
10269,Lake Tahoe,,FORMATION,CA,1997-05-24 20:00:00
10270,North Tonawanda,YELLOW,TRIANGLE,NY,1997-05-24 22:15:00
10271,Skies over Sierra Nevada,GREEN,LIGHT,CA,1997-05-25 01:10:00
10272,Austin,,DISK,TX,1997-05-25 19:30:00
10273,Saxton,,FORMATION,PA,1997-05-25 22:00:00
10274,Syracuse,,TRIANGLE,NY,1997-05-25 22:00:00
10275,Pompton Lakes,,DISK,NJ,1997-05-26 16:50:00
10276,Winnsboro,,OTHER,LA,1997-05-27 00:00:00
10277,Laguna Park,,CIGAR,TX,1997-05-27 00:35:00
10278,Arlington,,DISK,VA,1997-05-27 15:30:00
10279,Huntington,,LIGHT,UT,1997-05-27 23:00:00
10280,Wichita,,LIGHT,KS,1997-05-27 23:30:00
10281,Central New York,,LIGHT,NY,1997-05-28 22:00:00
10282,Canastota,,LIGHT,NY,1997-05-28 23:12:00
10283,Aston,,OVAL,PA,1997-05-29 11:59:00
10284,Hinckley,,LIGHT,NY,1997-05-29 19:00:00
10285,Manchester,,,NH,1997-05-30 02:00:00
10286,Dallas,,SPHERE,GA,1997-05-30 11:45:00
10287,Pooler,GREEN,FIREBALL,GA,1997-05-30 20:00:00
10288,Glendale,,,AZ,1997-05-31 11:28:00
10289,Austin,,RECTANGLE,TX,1997-06-01 00:00:00
10290,Baltimore,,CHEVRON,MD,1997-06-01 00:00:00
10291,Elma,,DISK,WA,1997-06-01 00:00:00
10292,Houston,,CHEVRON,TX,1997-06-01 00:00:00
10293,Phoenix,,,AZ,1997-06-01 00:00:00
10294,Egg Harbor Township,,EGG,NJ,1997-06-01 00:01:00
10295,North Bergen,,LIGHT,NJ,1997-06-01 01:00:00
10296,Phoenix,RED,,AZ,1997-06-01 01:00:00
10297,Rushcreek,,OTHER,IN,1997-06-01 02:00:00
10298,Eden Praire,,TRIANGLE,MN,1997-06-01 03:00:00
10299,New Mexico,,DISK,NM,1997-06-01 03:30:00
10300,South Charleston,,,WV,1997-06-01 05:30:00
10301,Crestwood,GREEN,CIRCLE,KY,1997-06-01 06:35:00
10302,Hamilton,,CIRCLE,OH,1997-06-01 07:00:00
10303,Mt. Vernon,,LIGHT,NY,1997-06-01 08:00:00
10304,Garden Grove,,OTHER,CA,1997-06-01 09:00:00
10305,American Canyon,,TRIANGLE,CA,1997-06-01 10:00:00
10306,Waimanalo,,OVAL,HI,1997-06-01 10:00:00
10307,Lashmeet,BLUE,TRIANGLE,WV,1997-06-01 12:00:00
10308,Glen Wilton,,,VA,1997-06-01 13:00:00
10309,Fresno,,OVAL,CA,1997-06-01 14:00:00
10310,Greenfield,RED,,WI,1997-06-01 14:00:00
10311,Montebello,,CIRCLE,CA,1997-06-01 18:00:00
10312,El Centro,,CHEVRON,CA,1997-06-01 19:00:00
10313,Houston,,OTHER,TX,1997-06-01 19:45:00
10314,Meriden,,SPHERE,CT,1997-06-01 20:00:00
10315,Pelzer,,TRIANGLE,SC,1997-06-01 20:00:00
10316,Albany,,OTHER,NY,1997-06-01 21:00:00
10317,McComb,,TRIANGLE,OH,1997-06-01 21:00:00
10318,Merritt Island,YELLOW,LIGHT,FL,1997-06-01 21:00:00
10319,Southern California Operations Area,,TRIANGLE,CA,1997-06-01 21:00:00
10320,Springfield,,CHEVRON,MA,1997-06-01 21:00:00
10321,El Paso,,OTHER,TX,1997-06-01 21:30:00
10322,Park City,,CIRCLE,UT,1997-06-01 22:00:00
10323,Richmond,,OTHER,CA,1997-06-01 22:00:00
10324,Smithsburg,,OTHER,MD,1997-06-01 22:00:00
10325,San Fransisco,,FORMATION,CA,1997-06-01 22:30:00
10326,Raton,,,NM,1997-06-01 23:00:00
10327,Shoreline,,TRIANGLE,WA,1997-06-01 23:00:00
10328,Exeter,,DISK,NH,1997-06-02 01:30:00
10329,Spanaway,,DISK,WA,1997-06-03 22:30:00
10330,Coushatta,ORANGE,LIGHT,LA,1997-06-03 23:00:00
10331,Havelock,,OTHER,NC,1997-06-04 20:30:00
10332,White Plains,,OTHER,NY,1997-06-04 21:20:00
10333,New York City,,DISK,NY,1997-06-05 16:00:00
10334,Hayward,,OTHER,CA,1997-06-05 21:30:00
10335,Colorado,,DISK,CO,1997-06-06 18:00:00
10336,Bothell,ORANGE,LIGHT,WA,1997-06-06 21:45:00
10337,Jeffersonville,RED,LIGHT,IN,1997-06-07 03:00:00
10338,Weatherford,,FIREBALL,OK,1997-06-07 19:30:00
10339,Quincy,,CYLINDER,MA,1997-06-07 22:00:00
10340,St. Louis,,CYLINDER,MO,1997-06-07 22:30:00
10341,Santa Clara,,VARIOUS,CA,1997-06-08 15:00:00
10342,Renton,,DISK,WA,1997-06-08 19:16:00
10343,Monterey,GREEN BLUE,OTHER,CA,1997-06-09 01:15:00
10344,Doylestown,,TRIANGLE,PA,1997-06-09 01:30:00
10345,Kalamazoo,,FORMATION,MI,1997-06-09 12:00:00
10346,Holly,,TRIANGLE,MI,1997-06-09 22:30:00
10347,New York,,OTHER,NY,1997-06-10 12:00:00
10348,Newport,,DISK,ME,1997-06-10 12:00:00
10349,Knoxville,,TRIANGLE,TN,1997-06-10 16:00:00
10350,Rochester,GREEN,TRIANGLE,NY,1997-06-10 21:00:00
10351,Hart Mountain Elk Preserve,YELLOW,LIGHT,OR,1997-06-10 21:30:00
10352,Louisville,,OTHER,KY,1997-06-10 22:00:00
10353,Golden,,LIGHT,CO,1997-06-10 22:30:00
10354,Zion Grove,,LIGHT,PA,1997-06-10 23:00:00
10355,Reno,,CYLINDER,NV,1997-06-11 11:00:00
10356,San Angelo,,OTHER,TX,1997-06-11 21:20:00
10357,Hieleah,,DISK,FL,1997-06-12 13:00:00
10358,Newark,,LIGHT,NJ,1997-06-12 21:45:00
10359,Beverly Hills,,TRIANGLE,CA,1997-06-13 16:00:00
10360,no data,,OVAL,TX,1997-06-13 21:00:00
10361,Franconia,,FIREBALL,PA,1997-06-13 22:20:00
10362,Orlando,ORANGE,CIRCLE,FL,1997-06-13 23:00:00
10363,Meridian,,TRIANGLE,ID,1997-06-14 00:00:00
10364,Vancouver,,LIGHT,WA,1997-06-14 02:45:00
10365,Newberg,,OTHER,OR,1997-06-14 03:30:00
10366,Ludlow,RED,,CA,1997-06-14 20:00:00
10367,Austin,,TRIANGLE,TX,1997-06-14 23:20:00
10368,Altamonte Springs,,LIGHT,FL,1997-06-15 00:00:00
10369,Grove City,,TRIANGLE,PA,1997-06-15 00:00:00
10370,Lawton,,FIREBALL,MI,1997-06-15 00:30:00
10371,Orlando,,DISK,FL,1997-06-15 01:00:00
10372,Peoria,,DISK,IL,1997-06-15 01:00:00
10373,Middletown,,,NY,1997-06-15 02:30:00
10374,Las Cruces,RED,FIREBALL,NM,1997-06-15 03:00:00
10375,"Oak Brook Terrace, Dorathy Drennon Park in",,DISK,IL,1997-06-15 09:00:00
10376,Colorado Springs,,DISK,CA,1997-06-15 13:00:00
10377,Gaffney,,CYLINDER,SC,1997-06-15 13:30:00
10378,Edmond,,DISK,OK,1997-06-15 14:00:00
10379,Jackson,,SPHERE,MI,1997-06-15 15:00:00
10380,Ripley,,,TN,1997-06-15 15:00:00
10381,Wapakoneta,,EGG,OH,1997-06-15 15:00:00
10382,Eden Prairie,,CIRCLE,MN,1997-06-15 16:00:00
10383,McGregor,,SPHERE,TX,1997-06-15 16:00:00
10384,Marlboro,,CIRCLE,MD,1997-06-15 16:40:00
10385,Salt Lake City,,OTHER,UT,1997-06-15 17:30:00
10386,Akron,,DISK,OH,1997-06-15 18:00:00
10387,Columbus,,TRIANGLE,OH,1997-06-15 18:00:00
10388,Swanville,,LIGHT,ME,1997-06-15 20:27:00
10389,Blaine,,,MN,1997-06-15 21:00:00
10390,Medford,,SPHERE,NY,1997-06-15 21:00:00
10391,Seattle,,TRIANGLE,WA,1997-06-15 21:00:00
10392,Westport,GREEN,OTHER,CT,1997-06-15 21:30:00
10393,Eagle Butte,,LIGHT,SD,1997-06-15 22:00:00
10394,Fort Myers,,SPHERE,FL,1997-06-15 22:00:00
10395,Lawton,,SPHERE,MI,1997-06-15 22:00:00
10396,Olive Hill,,LIGHT,KY,1997-06-15 22:00:00
10397,Ponte Vedra,YELLOW,FIREBALL,FL,1997-06-15 22:00:00
10398,Irvine,,VARIOUS,CA,1997-06-15 22:15:00
10399,,,TRIANGLE,IL,1997-06-15 23:00:00
10400,Mena,,OTHER,AR,1997-06-15 23:00:00
10401,Silver City,,,NM,1997-06-15 23:00:00
10402,Sun City,,FIREBALL,CA,1997-06-15 23:00:00
10403,Virginia,,DISK,VA,1997-06-15 23:50:00
10404,Murphy,,OTHER,OR,1997-06-16 22:46:00
10405,Petaluma,,LIGHT,CA,1997-06-17 01:30:00
10406,Roswell,,CIRCLE,NM,1997-06-17 04:55:00
10407,Beaumont,,LIGHT,MO,1997-06-17 10:30:00
10408,Pico Rivera,,CHEVRON,CA,1997-06-17 12:00:00
10409,Prescott,GREEN,FIREBALL,AZ,1997-06-17 21:30:00
10410,Portland,RED,LIGHT,OR,1997-06-17 23:15:00
10411,Carsonville,,DISK,MI,1997-06-18 20:00:00
10412,New Albany,,CIGAR,IN,1997-06-18 22:00:00
10413,Gladewater,,OTHER,TX,1997-06-19 02:00:00
10414,Englewood Cliffs,YELLOW,LIGHT,NJ,1997-06-19 20:15:00
10415,Cottonwood,,DISK,AZ,1997-06-19 20:30:00
10416,Sunnyside,RED,LIGHT,WA,1997-06-20 00:35:00
10417,Ocala,ORANGE,LIGHT,FL,1997-06-20 01:00:00
10418,Black Horse pike,,DISK,NJ,1997-06-20 01:45:00
10419,Seattle,,OTHER,WA,1997-06-20 04:30:00
10420,Carefree,YELLOW GREEN,CIRCLE,AZ,1997-06-20 20:34:00
10421,Holland Patent,BLUE,CIRCLE,NY,1997-06-20 21:00:00
10422,Little Marsh,,TRIANGLE,PA,1997-06-20 21:00:00
10423,Alamosa,RED,LIGHT,CO,1997-06-20 21:45:00
10424,Collierville,,OVAL,TN,1997-06-20 23:00:00
10425,Libertyville,,DISK,IL,1997-06-21 00:00:00
10426,Phoenix,,CYLINDER,AZ,1997-06-21 09:45:00
10427,Ticonderoga,BLUE,TRIANGLE,NY,1997-06-21 11:28:00
10428,Edgemere,,OTHER,MI,1997-06-21 17:00:00
10429,Fort Collins,,DISK,CO,1997-06-21 23:30:00
10430,Orlando,YELLOW,,FL,1997-06-22 01:00:00
10431,Greensboro,,LIGHT,NC,1997-06-22 06:00:00
10432,Huffman,,OTHER,TX,1997-06-22 06:30:00
10433,Willow Creek Campground,,OTHER,CA,1997-06-23 01:00:00
10434,Howell,,SPHERE,NJ,1997-06-23 02:00:00
10435,Eunice,,LIGHT,LA,1997-06-23 09:30:00
10436,Cuba,,LIGHT,MO,1997-06-23 21:00:00
